N1 | KILLED | double-encoded_dot (subtest) | admits exactly doubly-encoded dots (%252e)
N2 | KILLED | double-encoded_overlong (subtest) | admits exactly doubly-encoded overlong separators
N3 | KILLED | windows_ads (subtest) | admits exactly single-colon alternate streams
N4 | KILLED | windows_trailing_space (subtest) | admits exactly trailing-space segments
N5 | KILLED | windows_lpt (subtest) | admits exactly non-first-segment violations (nested device names)
N6 | KILLED | TestGuardManagedSet | admits exactly case variants of managed members
N7 | SURVIVED | exit 0 | admits exactly FIFOs (one disjunct of the special-file arm)
N7b | KILLED | TestCheckRegularTarget | narrowing, two-arm: drops NamedPipe disjunct plus the irregular catch-all, admits exactly FIFOs
N8 | KILLED | TestEscapeForTerminalOutputBytes | admits exactly U+202A
N9 | KILLED | TestEscapeForTerminalOutputBytes | admits exactly U+2069
N10 | KILLED | TestEscapeForTerminalOutputBytes | admits exactly U+009F
N11 | KILLED | TestEscapeForTerminalOutputBytes | admits exactly U+001F
N12 | KILLED | nul_argument (subtest) | admits exactly NUL bytes past argv[0]
N13 | KILLED | invalid_utf8 (subtest) | admits exactly invalid UTF-8 past argv[0]
N14 | KILLED | empty_element (subtest) | admits exactly empty elements past argv[0]
N15 | KILLED | TestIsEnvName | admits exactly 129-rune names
N16 | KILLED | TestIsEnvName | admits exactly leading-digit names (9LIVES)
N17 | KILLED | TestRedactCorpusValues | admits exactly 8-rune caller-known secrets
N18 | KILLED | TestRedactPrivateKeyBlocks | WIDENING: redacts every BEGIN block, certificates included
N19 | KILLED | TestTextSuccessEmissionNeutralizes | unwires exactly the success-Emit stdout site (R27)
N20 | KILLED | TestProgressEmissionNeutralizes | unwires exactly the Progress site (R23)
N21 | KILLED | TestPromptRefusalCarriesNeutralizedText | unwires exactly the Prompt-refusal text (R24)
N22 | KILLED | TestExecRunnerEmptyEnvIsDenyAll | restores full inheritance for exactly the empty allowlist (R26)
N23 | KILLED | TestGuardOpenRefusesSymlinkedParent | ELOOP-only classification: Darwin ENOTDIR escapes misreport as open-failed
N24 | KILLED | TestCheckRegularTarget | drops the directory arm alone: directories fall to the irregular catch-all and refuse as target special file, so the exact-message test kills
N24b | KILLED | TestCheckRegularTarget | narrowing, two-arm: drops directory arm plus the irregular catch-all, admits exactly directories
N25 | KILLED | empty_vector (subtest) | admits exactly empty vectors
N26 | KILLED | colon (subtest) | admits exactly colon-shaped sensitive pairs
N27 | KILLED | del (subtest) | admits exactly DEL
N28 | KILLED | TestGuardOpenRefusesForeignRootHandle | admits exactly foreign directory handles (binding checks kind, not identity)
N29 | KILLED | TestGuardOpenRefusesDeepSymlinkedParent | classify-after-close at the loop site: admits exactly the misreported rule for non-first intermediates
N30 | KILLED | inherited_NUL (subtest) | admits exactly NUL past index 0 in allowlist values
N31 | KILLED | literal_NUL (subtest) | admits exactly NUL past index 0 in literal values
N32 | KILLED | inherited_encoding (subtest) | admits exactly short invalid-UTF-8 allowlist values
N33 | KILLED | literal_encoding (subtest) | admits exactly short invalid-UTF-8 literal values
N34 | KILLED | duplicate_allowed (subtest) | admits exactly short duplicate allowlist names
N35 | KILLED | literal_collides (subtest) | admits exactly short colliding literal keys
N36 | KILLED | nested_parent (subtest) | admits exactly parent segments through the shared grammar
N37 | KILLED | TestCheckRegularTarget | exact-equality symlink match: admits symlink-combined modes to the later arms
N38 | KILLED | windows_trailing_dot (subtest) | admits exactly trailing-dot segments
N39 | KILLED | empty_executable (subtest) | admits exactly empty executables
D14b | KILLED | TestExecRunnerRefusesUnusableExecutable | DELETION: deadens the runner argv gate while keeping the import (scripted D14 alone is a compile-fail on the unused import)
D20 | KILLED | TestGuardOpenRefusesForeignRootHandle | DELETION: drops the handle-to-root binding arm
D21 | KILLED | TestGuardResolve | DELETION-shaped: deadens the guard-root absoluteness delegation (relative roots admitted)
D1 | KILLED | duplicate_allowed (subtest) | DELETION: drops the duplicate-allowlist arm
D2 | KILLED | literal_collides (subtest) | DELETION: drops the literal-collision arm
D3 | KILLED | TestSensitiveKeyListIsReviewed | DELETION: drops one scrubber-table entry
D5 | KILLED | TestGuardManagedSet | DELETION: drops the managed-set arm
D6 | KILLED | encoded_dot (subtest) | DELETION: drops the encoded-dot arm
D8 | KILLED | TestSecretSiteRosterIsComplete | INSTRUMENT: drops one census token, rows orphan
D9 | KILLED | TestExclusionClassRosterIsComplete | INSTRUMENT: renames one class row, derivation orphans it
D10 | KILLED | TestTextEmissionNeutralizesHostileContent | DELETION: drops the Log-only wire
D11 | KILLED | TestExecRunnerDeliversExactlyTheBuiltEnv | DELETION: ignores the runner allowlist (silent inheritance)
D12 | KILLED | final_symlink (subtest) | DELETION: drops the final-component O_NOFOLLOW flag
D13 | KILLED | TestGuardOpenRefusesSymlinkedParent | DELETION: drops the intermediate O_NOFOLLOW flag
D14 | KILLED-OTHER |  | DELETION: drops the runner argv gate
D15 | KILLED | TestRedactURLUserinfo | DELETION: keeps URL userinfo credentials
D16 | KILLED | TestRedactCorpusValues | DELETION: drops the corpus arm
D17 | KILLED | TestOpenStatFailureSeam | DELETION: drops the nil-stat arm (killed via panic)
D18 | KILLED | TestGuardResolve | DELETION: drops the guard-root delegation
D19 | KILLED | TestOpenNoFollowFile | DELETION: ignores the kernel open error (killed via panic)
